epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,995.962,1.65561,1.23123,1.3884,0.74996,0.50807,0.60026,0.33555,1.54519,1.09174,1.30973,0.0670091,0.000333241,0.000333241
2,2486.57,1.57763,1.08647,1.33905,0.77052,0.56287,0.64915,0.36418,1.48717,0.91802,1.27363,0.0340085,0.000665923,0.000665923
3,3398.35,1.55125,1.04671,1.32017,0.7801,0.57558,0.66415,0.37634,1.45237,0.88442,1.25099,0.00100524,0.000996005,0.000996005
4,5236.89,1.52726,1.01237,1.30486,0.79233,0.57753,0.67112,0.38684,1.4234,0.85569,1.23729,0.000991232,0.000991232,0.000991232
5,6156.3,1.50925,0.99235,1.29314,0.79203,0.59161,0.68107,0.39267,1.40921,0.84487,1.22347,0.000984449,0.000984449,0.000984449
6,9271.25,1.49534,0.97708,1.28566,0.8013,0.59479,0.68621,0.39699,1.40116,0.82563,1.21668,0.000975773,0.000975773,0.000975773
7,10258.7,1.48344,0.96442,1.27712,0.80434,0.59347,0.68445,0.39614,1.39596,0.8164,1.21321,0.000965239,0.000965239,0.000965239
8,11196,1.47555,0.95205,1.27108,0.80772,0.59727,0.69014,0.40398,1.3808,0.80445,1.20452,0.000952889,0.000952889,0.000952889
9,12688.1,1.46178,0.93899,1.26134,0.81009,0.60065,0.69327,0.40624,1.37762,0.80112,1.1988,0.000938772,0.000938772,0.000938772
10,13607.1,1.45564,0.92851,1.25556,0.81018,0.6035,0.69803,0.41046,1.36219,0.7879,1.18987,0.000922942,0.000922942,0.000922942
11,15145.3,1.44772,0.92085,1.25233,0.81062,0.60518,0.6979,0.41045,1.36113,0.78852,1.18655,0.000905463,0.000905463,0.000905463
12,16084.6,1.44126,0.91597,1.24989,0.81551,0.61183,0.70384,0.41616,1.35107,0.772,1.1817,0.000886404,0.000886404,0.000886404
13,17419.6,1.43323,0.90451,1.24075,0.81611,0.61403,0.70546,0.41776,1.3453,0.7704,1.17916,0.000865839,0.000865839,0.000865839
14,18325.4,1.43418,0.90466,1.24132,0.82035,0.61234,0.70508,0.41911,1.33795,0.76388,1.17337,0.000843851,0.000843851,0.000843851
15,19697.9,1.42829,0.89702,1.23395,0.82282,0.61473,0.7079,0.42078,1.33523,0.75737,1.17075,0.000820525,0.000820525,0.000820525
16,20625,1.42297,0.89282,1.233,0.82293,0.61661,0.71081,0.42427,1.32762,0.75327,1.16429,0.000795954,0.000795954,0.000795954
17,21531.1,1.41569,0.88692,1.23094,0.82081,0.62214,0.71222,0.42493,1.32578,0.7463,1.16306,0.000770234,0.000770234,0.000770234
18,22467.1,1.41155,0.88109,1.22625,0.82134,0.62233,0.71514,0.42794,1.3207,0.7462,1.16022,0.000743468,0.000743468,0.000743468
19,23380.8,1.40422,0.87533,1.22266,0.82503,0.6228,0.71674,0.42933,1.31692,0.74116,1.15767,0.000715761,0.000715761,0.000715761
20,24827.4,1.40165,0.86973,1.21885,0.82588,0.62564,0.71815,0.43057,1.31301,0.73814,1.15385,0.000687222,0.000687222,0.000687222
21,25726.8,1.39511,0.86611,1.21434,0.82552,0.62527,0.71845,0.4323,1.30941,0.73346,1.15117,0.000657963,0.000657963,0.000657963
22,27112,1.39522,0.86429,1.21621,0.82813,0.62492,0.71978,0.43325,1.30968,0.73068,1.15038,0.000628101,0.000628101,0.000628101
23,28006.7,1.38834,0.85862,1.21149,0.82677,0.62697,0.72099,0.43464,1.30549,0.73043,1.14953,0.000597754,0.000597754,0.000597754
