epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,841.572,1.52846,1.03638,1.31325,0.79948,0.57377,0.67288,0.38743,1.42018,0.87186,1.23665,0.0670091,0.000333241,0.000333241
2,1622.15,1.47662,0.96375,1.28965,0.80568,0.60276,0.69085,0.40267,1.38227,0.81332,1.2257,0.0340085,0.000665923,0.000665923
3,2379.48,1.45406,0.93394,1.2761,0.81663,0.61838,0.70692,0.4133,1.35968,0.78933,1.21238,0.00100524,0.000996005,0.000996005
4,6604.62,1.43323,0.90713,1.2629,0.82343,0.62197,0.71078,0.42197,1.3344,0.7627,1.19519,0.000991232,0.000991232,0.000991232
5,7397.12,1.40859,0.88416,1.25017,0.81951,0.62926,0.71881,0.42723,1.32659,0.75814,1.18821,0.000984449,0.000984449,0.000984449
6,12570.2,1.39603,0.87129,1.24251,0.83059,0.63386,0.72351,0.43446,1.30594,0.73404,1.17449,0.000975773,0.000975773,0.000975773
7,13340.5,1.38181,0.85798,1.2349,0.8292,0.63952,0.72548,0.43624,1.29943,0.7219,1.17172,0.000965239,0.000965239,0.000965239
8,14113.7,1.37245,0.84553,1.2286,0.83512,0.64034,0.73024,0.44157,1.28918,0.72237,1.1695,0.000952889,0.000952889,0.000952889
9,15633.9,1.36,0.83406,1.22031,0.83168,0.64645,0.73235,0.44302,1.28771,0.71643,1.162,0.000938772,0.000938772,0.000938772
10,16372.5,1.35111,0.8216,1.21494,0.83876,0.65083,0.73904,0.45057,1.27157,0.70061,1.15509,0.000922942,0.000922942,0.000922942
11,19305.5,1.343,0.81603,1.21026,0.8382,0.65252,0.74093,0.45121,1.27129,0.69405,1.15293,0.000905463,0.000905463,0.000905463
12,20082.2,1.33754,0.80995,1.20916,0.84087,0.65553,0.74379,0.45496,1.26442,0.68636,1.15149,0.000886404,0.000886404,0.000886404
13,20836.8,1.33111,0.80077,1.20119,0.84052,0.65684,0.74338,0.45547,1.25976,0.68304,1.14433,0.000865839,0.000865839,0.000865839
14,22087.4,1.32793,0.79751,1.20008,0.84642,0.6574,0.74623,0.45888,1.2509,0.67729,1.13876,0.000843851,0.000843851,0.000843851
15,22831.3,1.32218,0.79124,1.19413,0.8457,0.65685,0.74676,0.45921,1.25161,0.66986,1.14281,0.000820525,0.000820525,0.000820525
16,23587,1.31769,0.78788,1.19288,0.84538,0.66298,0.74994,0.46262,1.24419,0.66493,1.13383,0.000795954,0.000795954,0.000795954
17,24355.6,1.31059,0.78123,1.19139,0.84646,0.66384,0.74925,0.46214,1.24115,0.6635,1.13279,0.000770234,0.000770234,0.000770234
18,26576.2,1.30326,0.77389,1.18491,0.84746,0.66729,0.75391,0.46589,1.23751,0.65736,1.13079,0.000743468,0.000743468,0.000743468
19,27354.9,1.29822,0.76973,1.18435,0.8491,0.66702,0.75476,0.46735,1.23406,0.65379,1.12885,0.000715761,0.000715761,0.000715761
20,28128.7,1.29316,0.7623,1.17811,0.85105,0.66644,0.75546,0.4687,1.23009,0.64942,1.12631,0.000687222,0.000687222,0.000687222
21,29512.7,1.28784,0.75912,1.1757,0.85056,0.67029,0.75674,0.47015,1.22458,0.64761,1.12577,0.000657963,0.000657963,0.000657963
22,30255.2,1.28737,0.75808,1.17695,0.8507,0.66849,0.75616,0.47008,1.2255,0.64337,1.12299,0.000628101,0.000628101,0.000628101
23,31728.1,1.28011,0.75178,1.1716,0.85104,0.67162,0.75931,0.47328,1.21991,0.64163,1.12102,0.000597754,0.000597754,0.000597754
24,32488.5,1.27805,0.74867,1.17123,0.85287,0.67181,0.75898,0.47329,1.2186,0.63646,1.11982,0.00056704,0.00056704,0.00056704
25,33262.4,1.27507,0.74461,1.16599,0.85219,0.67557,0.76159,0.47521,1.21688,0.63411,1.11823,0.000536081,0.000536081,0.000536081
26,34000.4,1.26974,0.74094,1.16544,0.85323,0.67541,0.76195,0.47626,1.21376,0.63337,1.11598,0.000505,0.000505,0.000505
27,35131.8,1.26498,0.73616,1.16085,0.8545,0.67521,0.76307,0.47718,1.21336,0.63105,1.11477,0.000473919,0.000473919,0.000473919
28,35873.3,1.25951,0.72869,1.15845,0.85461,0.67755,0.76464,0.47897,1.20918,0.627,1.11524,0.00044296,0.00044296,0.00044296
29,754.525,1.25639,0.72686,1.15507,0.85519,0.67827,0.76514,0.47942,1.20861,0.62604,1.11459,0.000412246,0.000412246,0.000412246
30,1495.19,1.25486,0.72576,1.15617,0.85506,0.67901,0.76586,0.48072,1.20621,0.62287,1.11162,0.000381899,0.000381899,0.000381899
31,2260.76,1.25099,0.72093,1.15288,0.85618,0.67971,0.76674,0.48073,1.20575,0.62173,1.11155,0.000352037,0.000352037,0.000352037
32,6829.48,1.24703,0.71604,1.1488,0.85636,0.68029,0.76748,0.48144,1.20458,0.619,1.10938,0.000322778,0.000322778,0.000322778
33,7583.63,1.24204,0.71185,1.14807,0.85704,0.68048,0.76778,0.48184,1.20357,0.61886,1.10981,0.000294239,0.000294239,0.000294239
34,751.732,1.20757,0.68821,1.12919,0.85742,0.68155,0.76847,0.48238,1.20603,0.61498,1.11242,0.000266532,0.000266532,0.000266532
35,1497.08,1.20793,0.6893,1.13084,0.85627,0.68233,0.76844,0.4828,1.20548,0.61289,1.11043,0.000239766,0.000239766,0.000239766
36,3045.12,1.20587,0.68615,1.12875,0.85757,0.6825,0.76849,0.48234,1.20671,0.61268,1.11101,0.000214046,0.000214046,0.000214046
37,3809.41,1.20439,0.68388,1.12754,0.85765,0.68271,0.76918,0.48271,1.20674,0.61159,1.11148,0.000189475,0.000189475,0.000189475
38,5346.88,1.20872,0.68535,1.13039,0.85639,0.68373,0.76944,0.48274,1.2061,0.61181,1.11069,0.000166149,0.000166149,0.000166149
39,6121.46,1.22787,0.69862,1.14139,0.85727,0.68344,0.76929,0.48315,1.20316,0.61232,1.10938,0.000144161,0.000144161,0.000144161
40,7852.86,1.22167,0.69535,1.13747,0.85739,0.68397,0.77002,0.48364,1.20196,0.61126,1.10812,0.000123596,0.000123596,0.000123596
41,784.918,1.18325,0.62324,1.10596,0.85786,0.68316,0.77008,0.48424,1.20087,0.61023,1.10772,0.000104537,0.000104537,0.000104537
42,1570.25,1.17962,0.62148,1.10342,0.85908,0.68333,0.77041,0.48502,1.19932,0.60927,1.10652,8.70577e-05,8.70577e-05,8.70577e-05
43,3014.69,1.17385,0.61825,1.10058,0.85958,0.6831,0.77081,0.48547,1.19849,0.60888,1.10601,7.12282e-05,7.12282e-05,7.12282e-05
44,3780.41,1.17174,0.61461,1.09911,0.85936,0.68359,0.77116,0.48575,1.19784,0.60787,1.10563,5.71106e-05,5.71106e-05,5.71106e-05
45,5190.69,1.17112,0.61282,1.09813,0.85984,0.68358,0.77124,0.48602,1.19746,0.60719,1.10547,4.47606e-05,4.47606e-05,4.47606e-05
46,5935.25,1.16606,0.6113,1.09784,0.86009,0.68341,0.77132,0.48626,1.19682,0.60684,1.10514,3.4227e-05,3.4227e-05,3.4227e-05
47,6685.92,1.16656,0.61055,1.09575,0.86044,0.68342,0.77147,0.48644,1.19662,0.60653,1.10508,2.55513e-05,2.55513e-05,2.55513e-05
48,7429.94,1.16771,0.61163,1.09733,0.85955,0.68376,0.77155,0.48657,1.19647,0.60632,1.10493,1.87678e-05,1.87678e-05,1.87678e-05
49,8153.84,1.16498,0.61027,1.09619,0.86072,0.6827,0.7714,0.48661,1.19634,0.60634,1.10481,1.39032e-05,1.39032e-05,1.39032e-05
50,9441.42,1.16529,0.60876,1.09587,0.86061,0.68324,0.77154,0.48666,1.19631,0.60618,1.10468,1.09768e-05,1.09768e-05,1.09768e-05
